index,x,y,r (pixel),is_circle,r (um),probability
165,410,108,78,no,78,0.16818181818181818
114,502,548,46,no,46,0.16538461538461538
124,250,536,52,no,52,0.1643835616438356
174,476,568,93,no,93,0.16412213740458015
147,650,610,65,no,65,0.1620879120879121
152,576,76,68,no,68,0.16145833333333334
142,790,384,61,no,61,0.15988372093023256
153,92,496,68,no,68,0.15885416666666666
118,404,440,48,no,48,0.15671641791044777
156,372,532,70,no,70,0.1556122448979592
64,60,440,32,no,32,0.15555555555555556
134,300,116,56,no,56,0.1550632911392405
73,154,430,36,no,36,0.155
175,632,154,95,no,95,0.15298507462686567
132,232,550,55,no,55,0.1525974025974026
169,586,422,85,no,85,0.15
29,152,336,21,no,21,0.14655172413793102
178,404,148,99,no,99,0.14642857142857144
154,650,354,68,no,68,0.14322916666666666
108,358,268,46,yes,46,0.1423076923076923
103,250,442,44,no,44,0.14112903225806453
99,292,26,43,yes,43,0.13872832369942195
68,238,248,34,no,34,0.13020833333333334
133,160,138,55,no,55,0.12987012987012986
146,558,308,62,no,62,0.10057471264367816
160,594,460,75,no,75,0.09669811320754718
